PC1,PC2,PC3,PC4,PC5,País
-5219160.0,227367.25,-8105.33,-235052.55,-48659.9,Afganistán
-5278955.0,292729.53,93893.58,-230170.56,10021.469,Albania
537423.94,3384383.5,411406.06,-157862.72,186831.72,Alemania
-2095273.4,-418900.8,-426500.8,93911.01,-331404.78,América central
6590982.5,-5532702.0,-8539872.0,4289532.0,-485738.38,América del Sur
30203640.0,9639935.0,5377356.0,3599140.0,312332.16,América septentrional
46076364.0,3065428.2,-3877327.2,8424501.0,-616723.75,Américas
-5003152.5,114572.984,-36459.57,-105966.4,51059.96,Angola
-5315194.5,279021.25,127862.95,-242422.11,51885.367,Antigua y Barbuda
-3360575.5,-262395.28,1074242.8,-88890.336,174163.88,Arabia Saudita
-4633829.0,125385.03,281107.9,-190606.98,-16364.919,Argelia
-3475897.8,-331920.66,-1109213.1,-83864.2,-438986.8,Argentina
68091260.0,-27716894.0,10567100.0,2356171.2,1652863.1,Asia
10204526.0,-7772145.5,-3797632.5,-901451.25,-2292550.2,Asia meridional
1513886.8,-1784720.8,2450125.2,157998.86,-43567.355,Asia occidental
35515612.0,-11376007.0,13735117.0,461835.25,2274692.8,Asia oriental
3194603.8,-4913967.0,-1869989.1,1565518.6,2142894.0,Asia sudoriental
-2759426.5,-16940.139,-597384.9,-203975.44,-550246.44,Australia
-2186997.8,-300569.8,-1162394.8,-88266.945,-698658.1,Australia y Nueva Zelandia
-4932877.5,376898.8,137752.56,-245577.66,-5020.017,Austria
-5300711.0,289166.5,129415.04,-241615.0,54929.375,Bahamas
-5176295.5,228410.9,186278.4,-240454.48,46154.492,Bahrein
-4616935.5,-243760.22,-483896.3,-314195.97,-78733.46,Bangladesh
-5312283.0,278326.0,128728.34,-240437.94,48738.4,Barbados
-5320197.0,292671.78,116813.96,-201108.02,15149.423,Belice
-5273221.5,255374.7,81276.51,-180096.22,19899.99,Benin
-5325951.0,298730.66,126993.1,-233704.86,9836.223,Bhután
-5008486.5,69976.47,-161728.8,-24524.195,57305.508,Bolivia (Estado Plurinacional de)
-5199371.5,183730.0,27994.809,-119932.195,115472.48,Botswana
595955.2,-3168133.0,-5029969.0,2759644.5,-152485.8,Brasil
-5284506.5,295765.62,141890.94,-208260.58,4751.1597,Brunei Darussalam
-4949447.5,518990.62,116811.87,-283812.75,1560.463,Bulgaria
-5211120.0,197890.44,-34579.656,-177721.14,-21799.355,Burkina Faso
-5312178.5,287033.72,103613.6,-208237.11,3044.5403,Burundi
-5321821.0,278874.0,125660.305,-235195.22,39168.215,Cabo Verde
-5171337.0,145910.28,-27049.877,-207419.34,74064.47,Camboya
-5143647.0,176858.19,-20959.428,-89359.71,51437.395,Camerún
-1967435.1,620048.56,507325.72,134755.9,149839.55,Canadá
-5088130.0,68313.88,-258398.28,-139282.83,-95396.81,Chad
-4996663.5,265174.66,146992.11,-273839.34,-113375.4,Chile
26497870.0,-12574394.0,11209934.0,-716021.9,1794151.5,China
25348232.0,-12354888.0,10759697.0,-915758.2,1779598.2,"China, Continental"
-5153793.0,293231.2,184585.42,-179139.22,18334.932,"China, RAE de Hong Kong"
-4348220.0,79980.72,531181.4,6851.522,82030.664,"China, Taiwán provincia de"
-5295925.5,279192.3,132199.44,-232186.61,34184.64,Chipre
-4423842.0,-97812.664,-507435.16,-85051.68,-106186.484,Colombia
-5324956.5,298300.75,126593.47,-221584.52,16465.318,Comoras
-5261700.0,268409.62,121436.945,-191529.06,18687.223,Congo
-5278534.0,280924.66,87696.17,-218828.42,-21363.213,Costa Rica
-5081747.0,306284.94,29441.24,-254517.7,-47453.984,Cuba
-5189271.5,218923.55,42096.02,-110477.336,66783.914,Côte d'Ivoire
-4944032.5,414341.66,61055.297,-230746.08,-6086.734,Dinamarca
-5312011.5,272658.9,120102.26,-245576.06,49652.504,Djibouti
-5324195.0,280505.38,124524.695,-235166.55,36839.78,Dominica
-5045970.0,168145.8,12970.492,-119514.2,28956.04,Ecuador
-4417842.5,-46489.31,260789.19,-184752.97,19103.27,Egipto
-4570914.0,241049.56,11135.394,-229052.6,-81571.55,El Caribe
-5285007.5,282296.9,99301.414,-213035.61,-7034.609,El Salvador
-4664829.5,14678.105,457045.38,-179430.88,131342.6,Emiratos Árabes Unidos
-3834454.5,435176.72,208644.62,-189814.27,-175936.0,España
25890002.0,10123178.0,5437873.5,652957.75,-1463903.6,Estados Unidos de América
-5314313.0,293905.25,117611.836,-221764.39,10673.527,Eswatini
40489416.0,18790856.0,-144054.9,-331804.03,919699.6,Europa
148134.19,1160164.1,327227.16,163474.89,-305499.34,Europa meridional
6114056.5,4908725.5,-70624.266,399913.4,272337.44,Europa occidental
17885854.0,11419308.0,191542.69,-1932239.8,981585.0,Europa oriental
350388.3,2187732.2,-217565.83,372348.97,16221.851,Europa septentrional
-5325194.0,300873.9,119214.445,-220791.97,-2822.3723,Fiji
-4631940.5,-72716.99,-146967.45,-315172.9,56619.3,Filipinas
-4986403.5,365111.62,133463.17,-259141.45,3291.903,Finlandia
-2528577.5,1313602.9,-234717.98,-383372.06,-214393.22,Francia
-5263650.0,292870.53,138120.8,-210093.08,4089.3486,Gabón
-5318985.5,293489.47,118907.516,-221590.36,15236.131,Gambia
-5219941.0,231312.34,71440.61,-157268.84,19305.16,Ghana
-5323625.0,280260.62,125160.1,-234941.64,37689.27,Granada
-4919697.5,329333.2,162185.17,-180924.94,-57334.277,Grecia
-5212911.5,232908.05,50108.69,-178147.52,-1639.7671,Guatemala
-5243849.5,224701.86,25327.031,-191429.98,7369.7363,Guinea
-5281056.5,243848.61,132748.55,-233682.22,53954.68,Guinea Ecuatorial
-5369045.0,304988.0,161726.08,-457304.03,-40315.78,Guinea-Bissau
-5295079.5,279494.3,114139.2,-217554.39,40240.324,Guyana
-5281610.0,269527.2,83794.67,-226124.53,-1920.362,Haití
-5253306.0,253727.53,65439.734,-203066.08,-8208.037,Honduras
-4884755.5,508751.47,104269.195,-227934.16,32023.479,Hungría
8075498.0,-8022686.5,-9803570.0,3346777.0,88160.53,Import netos alim en Des
5184521.5,-5260587.5,-2553876.5,-972266.06,-1592105.5,India
-1786287.9,-1981169.8,-772878.8,941076.8,1302920.2,Indonesia
-4660802.5,76834.0,335197.25,-228233.58,4043.2559,Iraq
-4993614.0,219552.78,-54102.96,-233647.92,-58262.984,Irlanda
-2862725.2,-482092.25,958106.9,-108169.09,-51795.387,Irán (República Islámica del)
-5300249.0,268505.38,118608.586,-245559.34,47545.7,Islandia
-5312629.5,286019.44,123626.42,-217837.53,39528.93,Islas Salomón
-5056489.5,254772.0,225760.16,-192788.34,27189.482,Israel
-2979995.8,997593.0,329523.62,-165871.86,-157355.78,Italia
-5268273.5,305554.94,130752.12,-207034.86,-5157.29,Jamaica
662467.94,2012013.8,1980290.9,138556.44,-30607.178,Japón
-5237112.0,258467.1,151118.06,-228305.05,40658.598,Jordania
-5049425.0,104343.984,-207144.22,-198175.89,-136678.66,Kenya
-4908523.0,242814.72,299555.28,-172993.94,17434.059,Kuwait
-5305884.0,270942.22,114401.23,-234873.38,31727.945,Lesotho
-5294054.5,278349.88,107835.15,-186686.84,48583.6,Liberia
-5016368.5,259653.25,207004.3,-190622.67,7692.882,Libia
1816765.5,-5382611.5,-7437766.5,2285055.8,520613.56,Los países menos desarrollados
-5244963.5,264786.4,151845.94,-227683.98,40868.246,Líbano
-5162433.0,177086.55,-105586.664,-234983.23,-48145.2,Madagascar
-4516183.0,-76299.71,405473.7,-129682.35,52583.363,Malasia
-5289850.0,268584.22,82960.78,-192014.14,13324.097,Malawi
-5313638.5,281339.72,127978.336,-233562.72,35898.79,Malta
-5198888.5,190369.64,-82310.59,-215590.3,-76328.27,Malí
-5048877.0,183901.97,68891.625,-232371.94,-30030.006,Marruecos
-5317771.0,294950.03,130117.97,-216979.31,7363.4995,Mauricio
-5274081.0,262386.34,47271.086,-217788.02,-30086.672,Mauritania
-5223616.0,224368.83,67270.88,-150770.17,78215.39,Melanesia
-5316415.5,283439.66,125073.71,-242442.73,36543.324,Micronesia
-5082551.5,123999.445,-42416.754,-205659.34,25163.2,Mongolia
-5147078.0,150251.58,-22836.541,-68860.0,126780.65,Mozambique
146241800.0,4777961.5,-17944514.0,-5912667.5,3879938.0,Mundo
-4712809.5,-205511.84,-503760.78,28187.453,185276.88,Myanmar
-2610937.5,-129616.31,-50901.297,-87512.21,-306835.5,México
-5270239.0,241653.48,62067.066,-246978.72,13979.08,Namibia
-5162021.5,167747.3,-87632.695,-248984.75,-59388.24,Nepal
-5226062.5,229475.3,14596.013,-158489.38,7840.5757,Nicaragua
-4092665.8,-213733.88,-185928.19,-8565.666,-161262.58,Nigeria
-5043377.0,321976.72,167746.38,-266531.75,2369.859,Noruega
-3913825.2,2186270.8,-149528.84,-632997.2,852262.1,Nueva Caledonia
-4896243.0,128394.94,-301084.72,-340187.7,-238085.64,Nueva Zelandia
-5203813.0,198364.8,-82158.164,-207320.94,-80456.086,Níger
71335280.0,17354058.0,6805699.0,6656592.0,-753572.7,OECD
-2070154.2,-380085.38,-1221529.4,-22610.203,-625565.94,Oceanía
-5113166.5,168229.34,228290.42,-231820.14,44087.527,Omán
-3926425.2,-577928.0,-909445.56,-156662.84,-443509.66,Pakistán
-5265199.0,273490.9,93040.43,-202930.44,2139.0752,Panamá
-5245980.0,241292.66,89384.08,-162153.83,79008.27,Papua Nueva Guinea
-5085449.5,103359.93,-167382.38,-75745.52,21137.078,Paraguay
83360080.0,30856928.0,7397339.0,-2217351.2,-3499606.8,Países Anexo I
-4193037.2,545893.9,189798.44,-166323.97,-17546.555,Países Bajos (Reino de los)
83425940.0,-35459280.0,-1238179.8,-2978472.2,-5507344.0,Países No-Anexo I
1961184.5,-4303593.5,-6280935.5,2401519.8,7597.202,Países de bajos ingresos y con déficit de alim.
-205232.67,-3345893.0,-3064525.8,1360703.4,-839656.94,Países sin litoral en vías de desarrollo
-4142852.2,67670.93,-11526.6045,-79266.34,52604.65,Pequeñas islas en vías de Desarrollo
-4852581.0,60532.86,-155359.22,-33215.227,121080.26,Perú
-5320868.5,278787.6,122007.81,-235345.89,36004.453,Polinesia
-2969216.2,1229143.4,197984.17,-349512.25,64152.164,Polonia
-5063114.0,292129.9,129819.125,-193970.48,-48193.07,Portugal
-4978835.5,100427.32,312867.94,-239356.2,58826.12,Qatar
-1767898.5,2040512.9,130488.83,-30723.363,22261.258,Reino Unido de Gran Bretaña e Irlanda del Norte
-5317041.5,281694.9,31113.438,-417147.1,-114038.31,República Centroafricana
-5240238.0,224164.44,55563.137,-202362.7,29980.379,República Democrática Popular Lao
-3897523.8,-1071746.4,-1447976.8,373335.53,1053707.9,República Democrática del Congo
-5206624.0,250591.69,83889.08,-220277.17,-23786.6,República Dominicana
-4766842.5,615805.56,122111.41,-222252.48,111264.875,República Popular Democrática de Corea
-4942439.0,-14325.865,-332986.75,-61261.73,18534.043,República Unida de Tanzanía
-3363482.0,-147660.48,1049442.1,-92199.2,-61631.58,República de Corea
-5075719.0,273486.2,136627.17,-173470.56,-30598.48,República Árabe Siria
-4493066.5,793194.8,3986.8347,-367779.44,-73806.36,Rumanía
-5306053.5,282037.56,98521.49,-213851.89,1264.5856,Rwanda
-5317228.0,274991.2,125762.07,-245813.19,52026.56,Saint Kitts y Nevis
-5322764.5,279708.5,123065.42,-235172.23,36769.83,Samoa
-5318549.0,278324.25,127061.27,-241625.89,48986.508,San Vicente y las Granadinas
-5319822.0,272413.97,122430.45,-245752.56,44101.184,Santa Lucía
-5324287.5,280424.22,124679.84,-235124.0,37358.254,Santo Tomé y Príncipe
-5243501.5,244830.6,42740.375,-201837.08,-11625.765,Senegal
-5312838.5,266853.1,124528.94,-256615.44,60511.023,Seychelles
-5117815.5,96957.516,-214308.5,-278128.1,-80691.164,Sierra Leona
-5095416.0,293783.3,202843.08,-208968.56,59081.418,Singapur
-5137085.5,159628.05,-162591.97,-194585.22,-77780.34,Somalia
-5231180.5,249722.86,85612.93,-220821.16,3306.0605,Sri Lanka
-2812461.5,378085.94,692991.44,44938.215,-39594.695,Sudáfrica
-3305541.5,-1555785.0,122537.52,-597225.2,340034.3,Sudán (ex)
-4914009.5,479073.72,81851.2,-241707.56,40512.496,Suecia
-5063760.5,358202.56,104873.79,-237032.23,13236.955,Suiza
-5304657.5,291239.72,119578.17,-202473.78,20203.28,Suriname
-4060335.8,-385021.25,31209.084,-266504.78,28902.762,Tailandia
-5316541.0,292631.0,121867.64,-221719.27,18097.076,Timor-Leste
-5308049.5,285484.47,105973.8,-207331.75,2643.9155,Togo
-5146498.5,264573.28,190745.73,-192092.45,27262.209,Trinidad y Tabago
-5193412.0,239765.61,123711.17,-230782.75,25982.81,Túnez
-3999199.5,-86607.6,250424.4,-380610.03,-223761.33,Türkiye
-5167588.5,171010.36,-61128.16,-179582.88,-18281.258,Uganda
16424795.0,7757049.5,398295.03,-198940.06,-941708.3,Unión Europea (27)
-5121246.5,187196.34,-173822.16,-268365.44,-147675.81,Uruguay
-5315521.0,275840.78,124181.52,-241479.25,50448.5,Vanuatu
-4212591.5,114152.69,-125585.92,235933.66,35376.42,Venezuela (República Bolivariana de)
-4502432.0,-278160.94,-25257.277,-418488.12,84157.22,Viet Nam
-5198168.0,232307.4,89531.35,-220519.97,3551.2876,Yemen
-5167242.5,174538.55,-30636.707,-148211.48,70306.625,Zambia
-5150265.5,233710.55,16386.465,-177376.34,19923.795,Zimbabwe
7168664.0,-5701715.0,-5808743.5,3286589.0,336148.16,África
-3312767.2,-1298866.2,-1354608.5,1408636.4,1285050.1,África central
-2574714.2,204377.72,501997.06,223433.73,52370.438,África meridional
-3042980.0,-981976.25,-1281739.5,354528.8,-259948.78,África occidental
-2784698.8,-1601473.6,-2871580.2,439931.38,-394913.66,África oriental
-2427968.5,-832974.5,-331731.34,-11867.175,-320265.0,África septentrional
