,Gibraltar,Guam,Isla Norfolk,Isla de Man,Islas Anglonormandas,Islas Caimán,Islas Malvinas (Falkland Islands),Islas Marianas del Norte,Islas Marshall,Islas Svalbard y Jan Mayen,Islas Vírgenes de los Estados Unidos,Islas Wallis y Futuna,Mayotte,Montserrat,Palau,Pitcairn,Samoa americana,San Pedro y Miquelón,Serbia y Montenegro,Sudán,Sudán del Sur,Sáhara Occidental
Gibraltar,1.0,-0.810939371585846,0.4171394109725952,0.5103291869163513,0.7125993967056274,0.8297185897827148,-0.4476912319660187,0.8977950811386108,0.8797207474708557,,0.46125537157058716,0.2364194095134735,-0.6433061957359314,-0.028543096035718918,-0.7448440194129944,-0.5291016101837158,-0.5304315090179443,0.44763416051864624,-0.21135342121124268,0.9635776281356812,0.7301458120346069,0.5439888834953308
Guam,-0.810939371585846,1.0,-0.1715891808271408,-0.45077842473983765,-0.46427667140960693,-0.6259934902191162,0.06748661398887634,-0.9947922229766846,-0.7595956325531006,,-0.10328643769025803,0.11925046145915985,0.38632121682167053,0.15232618153095245,0.5079149603843689,0.19501608610153198,0.1627635955810547,-0.26642656326293945,-0.3733275234699249,-0.8587912321090698,-0.7669346928596497,-0.1992032527923584
Isla Norfolk,0.4171394109725952,-0.1715891808271408,1.0,0.6064522862434387,0.21473848819732666,0.5265964865684509,-0.1463630199432373,0.23740991950035095,0.4805043339729309,,0.3500322103500366,0.07062485069036484,-0.5409305095672607,-0.025988619774580002,-0.464664101600647,-0.29004955291748047,-0.136839359998703,0.37728172540664673,0.36554455757141113,-0.8857582807540894,-0.753420889377594,0.249454528093338
Isla de Man,0.5103291273117065,-0.45077845454216003,0.6064522862434387,1.0,0.5262963771820068,0.7020795345306396,0.07270345836877823,0.5145236253738403,0.7119617462158203,,0.4628821015357971,-0.1630706787109375,-0.6186845898628235,-0.39965882897377014,-0.42505431175231934,-0.46315690875053406,-0.03819766640663147,0.6551305651664734,0.03250235319137573,-0.534500777721405,-0.4603695273399353,0.26127946376800537
Islas Anglonormandas,0.7125993967056274,-0.46427667140960693,0.21473848819732666,0.5262963771820068,1.0,0.8402087092399597,-0.34836679697036743,0.536699116230011,0.6969709992408752,,0.7903140783309937,0.16067849099636078,-0.8242197632789612,-0.40445566177368164,-0.557094931602478,-0.7855812907218933,-0.453063428401947,0.7457099556922913,-0.4089471399784088,0.882452130317688,0.667957603931427,0.5475738644599915
Islas Caimán,0.8297185897827148,-0.6259934902191162,0.5265964865684509,0.7020795345306396,0.8402087688446045,1.0,-0.23706667125225067,0.6964631676673889,0.8847973942756653,,0.691674530506134,0.044734589755535126,-0.7802208065986633,-0.30932703614234924,-0.6394679546356201,-0.5724696516990662,-0.3020773231983185,0.788567066192627,-0.3324247896671295,0.8123807907104492,0.41930434107780457,0.42179644107818604
Islas Malvinas (Falkland Islands),-0.4476912021636963,0.06748661398887634,-0.1463630348443985,0.07270346581935883,-0.34836679697036743,-0.23706667125225067,1.0,-0.15881399810314178,-0.1790313422679901,,-0.3460084795951843,-0.9606841802597046,0.27600520849227905,-0.6470991373062134,0.5939128994941711,0.4878700375556946,0.9718807339668274,0.03677678853273392,0.17539572715759277,-0.7457334399223328,-0.42216384410858154,-0.8311141133308411
Islas Marianas del Norte,0.8977950811386108,-0.9947922229766846,0.23740991950035095,0.5145236253738403,0.5366990566253662,0.6964631676673889,-0.1588139832019806,1.0,0.8083927631378174,,0.1739601343870163,-0.9482229351997375,-0.46514931321144104,-0.3352622389793396,-0.5556017160415649,-0.261695921421051,-0.41548705101013184,0.3501378297805786,0.5529589653015137,0.8695647120475769,0.7687716484069824,0.32702356576919556
Islas Marshall,0.8797208070755005,-0.759595513343811,0.4805043339729309,0.7119617462158203,0.69697105884552,0.8847974538803101,-0.17903132736682892,0.8083927631378174,1.0,,0.40395206212997437,-0.8053118586540222,-0.6342939734458923,-0.47287940979003906,-0.503141462802887,-0.41643673181533813,-0.43106961250305176,0.5760401487350464,-0.024126004427671432,0.8715730905532837,0.4947052299976349,0.46423500776290894
Islas Svalbard y Jan Mayen,,,,,,,,,,1.0,,,,,,,,,,,,
Islas Vírgenes de los Estados Unidos,0.46125537157058716,-0.10328643769025803,0.3500322103500366,0.46288204193115234,0.7903140783309937,0.6916744709014893,-0.3460084795951843,0.1739601194858551,0.40395206212997437,,1.0,0.22192326188087463,-0.7639173865318298,-0.3075580298900604,-0.4228454530239105,-0.6623643040657043,-0.3696298897266388,0.8473518490791321,-0.17339110374450684,-0.7871679663658142,-0.4904834032058716,0.4120364189147949
Islas Wallis y Futuna,0.23641937971115112,0.11925046145915985,0.07062485069036484,-0.1630706936120987,0.16067849099636078,0.04473459720611572,-0.9606841206550598,-0.9482229351997375,-0.8053117990493774,,0.22192326188087463,1.0,-0.10228043049573898,0.7669872045516968,0.5577927231788635,-0.33001917600631714,-0.9103728532791138,-0.19337566196918488,0.5230256915092468,-0.8379129767417908,-0.7518766522407532,0.7546467185020447
Mayotte,-0.6433062553405762,0.3863212466239929,-0.5409305691719055,-0.6186845898628235,-0.824219822883606,-0.7802208065986633,0.27600517868995667,-0.46514931321144104,-0.6342939734458923,,-0.7639173865318298,-0.10228043794631958,1.0,0.4551812410354614,0.6107685565948486,0.6798361539840698,0.35816943645477295,-0.7204333543777466,0.42267879843711853,0.9817862510681152,0.7436345219612122,-0.591675341129303
Montserrat,-0.028543096035718918,0.15232618153095245,-0.025988630950450897,-0.39965882897377014,-0.40445569157600403,-0.30932703614234924,-0.6470990180969238,-0.3352622389793396,-0.47287940979003906,,-0.3075580596923828,0.7669872641563416,0.4551812410354614,1.0,0.49064478278160095,0.21947158873081207,-0.5454075932502747,-0.5945211052894592,0.508534848690033,-0.36552610993385315,-0.5184840559959412,0.2773685157299042
Palau,-0.7448440790176392,0.5079149603843689,-0.464664101600647,-0.42505431175231934,-0.557094931602478,-0.6394679546356201,0.5939129590988159,-0.5556018352508545,-0.503141462802887,,-0.4228454828262329,0.5577927231788635,0.6107685565948486,0.49064475297927856,1.0,0.5041158199310303,0.5863615870475769,-0.5032903552055359,0.5907811522483826,-0.6512994170188904,-0.4259854257106781,-0.4339386224746704
Pitcairn,-0.5291016101837158,0.19501608610153198,-0.2900495231151581,-0.46315687894821167,-0.7855812907218933,-0.5724696516990662,0.4878700375556946,-0.261695921421051,-0.41643673181533813,,-0.6623643040657043,-0.33001917600631714,0.6798361539840698,0.21947155892848969,0.5041158199310303,1.0,0.5900280475616455,-0.5359309315681458,0.01450403779745102,-0.05260775238275528,0.07945942133665085,-0.6117797493934631
Samoa americana,-0.5304315090179443,0.1627635955810547,-0.136839359998703,-0.03819765895605087,-0.453063428401947,-0.3020772933959961,0.9718807339668274,-0.41548705101013184,-0.43106961250305176,,-0.36962994933128357,-0.910372793674469,0.35816943645477295,-0.5454075932502747,0.5863615870475769,0.5900280475616455,1.0,-0.012297818437218666,0.17863772809505463,-0.9371285438537598,-0.629636824131012,-0.8636020421981812
San Pedro y Miquelón,0.44763416051864624,-0.26642656326293945,0.37728172540664673,0.6551306247711182,0.7457099556922913,0.788567066192627,0.03677678108215332,0.3501378297805786,0.5760401487350464,,0.8473518490791321,-0.1933756321668625,-0.7204333543777466,-0.5945211052894592,-0.5032903552055359,-0.5359309315681458,-0.01229781936854124,1.0,-0.2857050597667694,-0.7797209024429321,-0.5574764013290405,0.17236003279685974
Serbia y Montenegro,-0.21135342121124268,-0.3733275532722473,0.36554455757141113,0.03250233829021454,-0.4089471697807312,-0.3324248194694519,0.17539572715759277,0.5529589653015137,-0.024125996977090836,,-0.17339113354682922,0.5230257511138916,0.42267873883247375,0.5085349082946777,0.5907812714576721,0.014504048973321915,0.17863772809505463,-0.2857050895690918,1.0,,,-0.4236149787902832
Sudán,0.9635776281356812,-0.8587912321090698,-0.8857581615447998,-0.5345008373260498,0.8824521899223328,0.8123807907104492,-0.7457334995269775,0.8695646524429321,0.8715730905532837,,-0.7871679663658142,-0.8379129767417908,0.9817861914634705,-0.365526020526886,-0.6512994170188904,-0.05260775238275528,-0.9371284246444702,-0.7797209024429321,,1.0,0.7355886697769165,0.9655327200889587
Sudán del Sur,0.7301458120346069,-0.7669346928596497,-0.753420889377594,-0.4603694975376129,0.6679576635360718,0.4193043112754822,-0.42216384410858154,0.7687716484069824,0.4947052001953125,,-0.49048346281051636,-0.7518766522407532,0.7436345219612122,-0.5184840559959412,-0.42598533630371094,0.07945940643548965,-0.6296367645263672,-0.5574764609336853,,0.7355886697769165,1.0,0.7334004044532776
Sáhara Occidental,0.5439888834953308,-0.1992032527923584,0.2494545429944992,0.26127946376800537,0.5475738644599915,0.42179644107818604,-0.8311140537261963,0.32702356576919556,0.4642350673675537,,0.41203638911247253,0.7546466588973999,-0.5916752815246582,0.277368426322937,-0.4339386522769928,-0.6117797493934631,-0.8636020421981812,0.17236003279685974,-0.4236149489879608,0.9655327200889587,0.7334004044532776,1.0
